date,1. open,2. high,3. low,4. close,5. volume
2019-03-04 10:50:00,10.1,10.1,10.1,10.1,100.0
2019-03-04 10:51:00,10.075,10.075,10.075,10.075,850.0
2019-03-04 10:53:00,10.1,10.1,10.1,10.1,104.0
2019-03-04 10:55:00,10.0625,10.0625,10.05,10.05,3617.0
2019-03-04 11:03:00,10.08,10.08,10.05,10.05,2473.0
2019-03-04 11:05:00,10.03,10.03,10.03,10.03,421.0
2019-03-04 11:13:00,10.09,10.09,10.09,10.09,168.0
2019-03-04 11:21:00,10.09,10.09,10.07,10.07,3348.0
2019-03-04 11:26:00,10.09,10.09,10.09,10.09,357.0
2019-03-04 11:37:00,10.09,10.09,10.09,10.09,200.0
2019-03-04 11:38:00,10.09,10.09,10.09,10.09,905.0
2019-03-04 11:40:00,10.09,10.09,10.09,10.09,400.0
2019-03-04 11:42:00,10.07,10.07,10.05,10.06,7755.0
2019-03-04 11:44:00,9.975,9.975,9.975,9.975,751.0
2019-03-04 11:55:00,9.935,9.935,9.935,9.935,100.0
2019-03-04 11:57:00,9.93,9.93,9.93,9.93,653.0
2019-03-04 12:00:00,9.92,9.92,9.91,9.91,1448.0
2019-03-04 12:01:00,9.75,9.75,9.75,9.75,400.0
2019-03-04 12:08:00,9.82,9.82,9.82,9.82,818.0
2019-03-04 12:10:00,9.8352,9.8352,9.8352,9.8352,789.0
2019-03-04 12:13:00,9.82,9.82,9.82,9.82,739.0
2019-03-04 12:14:00,9.805,9.805,9.805,9.805,1335.0
2019-03-04 12:16:00,9.795,9.795,9.795,9.795,185.0
2019-03-04 12:20:00,9.8256,9.8256,9.8256,9.8256,462.0
2019-03-04 12:25:00,9.84,9.87,9.84,9.87,2001.0
2019-03-04 12:26:00,9.89,9.89,9.89,9.89,156.0
2019-03-04 12:33:00,9.97,9.97,9.97,9.97,501.0
2019-03-04 12:38:00,9.93,9.93,9.93,9.93,709.0
2019-03-04 12:44:00,10.01,10.01,9.93,9.93,1711.0
2019-03-04 12:45:00,9.97,9.97,9.97,9.97,405.0
2019-03-04 12:49:00,9.98,9.98,9.98,9.98,1223.0
2019-03-04 12:50:00,9.97,9.97,9.97,9.97,210.0
2019-03-04 12:54:00,9.965,9.965,9.93,9.93,2338.0
2019-03-04 13:07:00,9.9,9.9,9.9,9.9,1275.0
2019-03-04 13:08:00,9.89,9.89,9.85,9.85,2568.0
2019-03-04 13:13:00,9.84,9.84,9.84,9.84,170.0
2019-03-04 13:16:00,9.83,9.83,9.83,9.83,984.0
2019-03-04 13:18:00,9.8495,9.8495,9.81,9.81,2633.0
2019-03-04 13:19:00,9.82,9.82,9.82,9.82,666.0
2019-03-04 13:23:00,9.79,9.79,9.77,9.77,1791.0
2019-03-04 13:25:00,9.77,9.77,9.75,9.75,3862.0
2019-03-04 13:28:00,9.675,9.675,9.675,9.675,100.0
2019-03-04 13:30:00,9.68,9.68,9.68,9.68,807.0
2019-03-04 13:31:00,9.665,9.665,9.665,9.665,852.0
2019-03-04 13:32:00,9.67,9.67,9.67,9.67,1573.0
2019-03-04 13:33:00,9.68,9.68,9.68,9.68,318.0
2019-03-04 13:34:00,9.69,9.69,9.69,9.69,1486.0
2019-03-04 13:35:00,9.67,9.67,9.67,9.67,2696.0
2019-03-04 13:41:00,9.65,9.65,9.65,9.65,823.0
2019-03-04 13:42:00,9.68,9.68,9.68,9.68,382.0
